customer_id,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2
211,,,,1754.0,1.0,1 days 00:00:00.000000000,,,
220,3443.0,2.0,1 days 00:00:00.000000000,,,,1949.0,1.0,1 days 00:00:00.000000000
292,,,,5719.0,1.0,1 days 00:00:00.000000000,,,
648,,,,,,,14815.0,1.0,4 days 00:00:00.000000000
714,,,,,,,2267.0,1.0,0 days 00:00:00.000000000
728,,,,,,,4677.0,1.0,0 days 00:00:00.000000000
765,1949.0,1.0,1 days 00:00:00.000000000,,,,,,
834,,,,,,,3769.0,1.0,1 days 00:00:00.000000000
1731,,,,1819.0,1.0,1 days 00:00:00.000000000,,,
1775,,,,,,,2790.0,1.0,1 days 00:00:00.000000000
1864,4288.0,2.0,2 days 00:00:00.000000000,1494.0,1.0,1 days 00:00:00.000000000,,,
2029,,,,3119.0,1.0,1 days 00:00:00.000000000,,,
2057,,,,,,,4939.0,1.0,0 days 00:00:00.000000000
2133,,,,,,,2014.0,1.0,1 days 00:00:00.000000000
2161,,,,5458.0,2.0,0 days 00:00:00.000000000,,,
2162,4159.0,1.0,1 days 00:00:00.000000000,,,,,,
2202,15918.0,2.0,5 days 00:00:00.000000000,,,,,,
2261,,,,,,,2014.0,1.0,1 days 00:00:00.000000000
2263,,,,,,,3120.0,1.0,1 days 00:00:00.000000000
2562,,,,3388.0,1.0,1 days 00:00:00.000000000,,,
2577,,,,,,,2101.0,1.0,1 days 00:00:00.000000000
2583,,,,,,,1819.0,1.0,1 days 00:00:00.000000000
2827,4157.0,1.0,2 days 00:00:00.000000000,,,,5197.0,1.0,2 days 00:00:00.000000000
2831,,,,,,,2236.0,1.0,1 days 00:00:00.000000000
2861,,,,,,,4484.0,1.0,0 days 00:00:00.000000000
3145,1884.0,1.0,1 days 00:00:00.000000000,1884.0,1.0,1 days 00:00:00.000000000,,,
3176,,,,,,,3188.0,1.0,2 days 00:00:00.000000000
3177,,,,,,,2050.0,1.0,1 days 00:00:00.000000000
3207,,,,1819.0,1.0,1 days 00:00:00.000000000,10460.0,5.0,5 days 00:00:00.000000000
3231,,,,,,,2079.0,1.0,1 days 00:00:00.000000000
3288,,,,3637.0,1.0,0 days 00:00:00.000000000,,,
3398,,,,5651.0,1.0,3 days 00:00:00.000000000,7016.0,2.0,2 days 00:00:00.000000000
3424,2599.0,1.0,1 days 00:00:00.000000000,2014.0,1.0,1 days 00:00:00.000000000,1819.0,1.0,1 days 00:00:00.000000000
3427,,,,,,,4583.0,2.0,1 days 00:00:00.000000000
3449,5978.0,2.0,2 days 00:00:00.000000000,,,,,,
3452,5977.0,1.0,2 days 00:00:00.000000000,,,,,,
3510,,,,2144.0,1.0,1 days 00:00:00.000000000,,,
3574,,,,11531.0,1.0,5 days 00:00:00.000000000,,,
3580,4677.0,1.0,2 days 00:00:00.000000000,,,,,,
3585,2729.0,1.0,0 days 00:00:00.000000000,,,,,,
3770,2339.0,1.0,1 days 00:00:00.000000000,,,,,,
3772,,,,1732.0,1.0,0 days 00:00:00.000000000,,,
3846,,,,1608.0,1.0,0 days 00:00:00.000000000,,,
3929,13708.0,3.0,5 days 00:00:00.000000000,,,,,,
4043,2729.0,1.0,0 days 00:00:00.000000000,,,,,,
4121,4288.0,2.0,0 days 00:00:00.000000000,,,,4523.0,2.0,1 days 00:00:00.000000000
4141,,,,12476.0,1.0,3 days 00:00:00.000000000,,,
4328,,,,,,,2014.0,1.0,1 days 00:00:00.000000000
4377,,,,,,,3588.0,1.0,1 days 00:00:00.000000000
4473,,,,2144.0,1.0,0 days 00:00:00.000000000,,,
4595,4678.0,2.0,1 days 00:00:00.000000000,,,,2209.0,1.0,0 days 00:00:00.000000000
4675,2404.0,1.0,1 days 00:00:00.000000000,4743.0,2.0,1 days 00:00:00.000000000,,,
5049,2469.0,1.0,1 days 00:00:00.000000000,,,,2014.0,1.0,1 days 00:00:00.000000000
5397,,,,5756.0,1.0,2 days 00:00:00.000000000,3938.0,2.0,1 days 00:00:00.000000000
5494,,,,,,,1754.0,1.0,1 days 00:00:00.000000000
